Year,League,Rank,Name,Team,Vote Pts,1st Place,Share,WAR
2025,AL,1,Tarik Skubal,DET,198,26,94%,6.5
2025,AL,2,Garrett Crochet,BOS,132,4,63%,6.3
2025,AL,3,Hunter Brown,HOU,80,0,38%,6.1
2025,AL,4,Max Fried,NYY,61,0,29%,4.5
2025,AL,5,Bryan Woo,SEA,26,0,12%,4.2
2025,AL,6,Carlos Rodón,NYY,5,0,2%,4.6
2025,AL,7,Aroldis Chapman,BOS,4,0,2%,3.6
2025,AL,8,Jacob deGrom,TEX,2,0,1%,3
2025,AL,9,Drew Rasmussen,TBR,1,0,0%,4.4
2025,AL,9,Trevor Rogers,BAL,1,0,0%,5.4
2025,NL,1,Paul Skenes,PIT,210,30,100%,7.7
2025,NL,2,Cristopher Sánchez,PHI,120,0,57%,8
2025,NL,3,Yoshinobu Yamamoto,LAD,72,0,34%,4.9
2025,NL,4,Logan Webb,SFG,47,0,22%,4
2025,NL,5,Freddy Peralta,MIL,44,0,21%,5.4
2025,NL,6,Nick Pivetta,SDP,7,0,3%,5.2
2025,NL,7,Jesús Luzardo,PHI,5,0,2%,3.7
2025,NL,8,Andrew Abbott,CIN,4,0,2%,5.5
2025,NL,9,Zack Wheeler,PHI,1,0,0%,5
2024,AL,1,Tarik Skubal,DET,210,30,100%,6.7
2024,AL,2,Seth Lugo,KCR,93,0,44%,5
2024,AL,3,Emmanuel Clase,CLE,66,0,31%,4.4
2024,AL,4,Cole Ragans,KCR,48,0,23%,4.7
2024,AL,5,Corbin Burnes,BAL,47,0,22%,3.9
2024,AL,6,Logan Gilbert,SEA,25,0,12%,3
2024,AL,7,Framber Valdez,HOU,17,0,8%,4.6
2024,AL,8,Kirby Yates,TEX,2,0,1%,3.1
2024,AL,9,Yusei Kikuchi,TOT,1,0,0%,1.6
2024,AL,9,Cade Smith,CLE,1,0,0%,2.4
2024,NL,1,Chris Sale,ATL,198,26,94%,6.2
2024,NL,2,Zack Wheeler,PHI,130,4,62%,6.5
2024,NL,3,Paul Skenes,PIT,53,0,25%,5.8
2024,NL,4,Dylan Cease,SDP,45,0,21%,4
2024,NL,5,Shota Imanaga,CHC,38,0,18%,3
2024,NL,6,Logan Webb,SFG,18,0,9%,3.8
2024,NL,7,Michael King,SDP,14,0,7%,4.1
2024,NL,8,Hunter Greene,CIN,5,0,2%,6
2024,NL,9,Ryan Helsley,STL,4,0,2%,2.8
2024,NL,10,Cristopher Sánchez,PHI,2,0,1%,3.8
2024,NL,11,Reynaldo López,ATL,1,0,0%,5.1
2024,NL,11,Sean Manaea,NYM,1,0,0%,2.9
2024,NL,11,Aaron Nola,PHI,1,0,0%,4
2023,AL,1,Gerrit Cole,NYY,210,30,100%,7.4
2023,AL,2,Sonny Gray,MIN,104,0,50%,5.6
2023,AL,3,Kevin Gausman,TOR,82,0,39%,3.5
2023,AL,4,Kyle Bradish,BAL,39,0,19%,4.8
2023,AL,5,Luis Castillo,SEA,23,0,11%,3.2
2023,AL,6,Zach Eflin,TBR,19,0,9%,3.6
2023,AL,7,Pablo López,MIN,11,0,5%,3.4
2023,AL,8,George Kirby,SEA,8,0,4%,3.8
2023,AL,9,Framber Valdez,HOU,6,0,3%,3.2
2023,AL,10,Chris Bassitt,TOR,4,0,2%,2.6
2023,AL,11,Félix Bautista,BAL,3,0,1%,3
2023,AL,12,Chris Martin,BOS,1,0,0%,3.2
2023,NL,1,Blake Snell,SDP,204,28,97%,6.5
2023,NL,2,Logan Webb,SFG,86,1,41%,5.6
2023,NL,3,Zac Gallen,ARI,68,1,32%,4.4
2023,NL,4,Spencer Strider,ATL,64,0,30%,3
2023,NL,5,Justin Steele,CHC,31,0,15%,3.2
2023,NL,6,Zack Wheeler,PHI,28,0,13%,4.2
2023,NL,7,Kodai Senga,NYM,16,0,8%,4.5
2023,NL,8,Corbin Burnes,MIL,13,0,6%,3.5
2022,AL,1,Justin Verlander,HOU,210,30,100%,5.6
2022,AL,2,Dylan Cease,CHW,97,0,46%,6.4
2022,AL,3,Alek Manoah,TOR,87,0,41%,6
2022,AL,4,Shohei Ohtani,LAA,82,0,39%,6.3
2022,AL,5,Framber Valdez,HOU,14,0,7%,3.4
2022,AL,6,Shane McClanahan,TBR,10,0,5%,4.1
2022,AL,7,Shane Bieber,CLE,5,0,2%,3.5
2022,AL,8,Nestor Cortes,NYY,3,0,1%,4.4
2022,AL,9,Gerrit Cole,NYY,1,0,0%,2.6
2022,AL,9,Kevin Gausman,TOR,1,0,0%,3
2022,NL,1,Sandy Alcantara,MIA,210,30,100%,8
2022,NL,2,Max Fried,ATL,72,0,34%,6
2022,NL,3,Julio Urías,LAD,66,0,31%,4.6
2022,NL,4,Aaron Nola,PHI,48,0,23%,5.7
2022,NL,5,Zac Gallen,ARI,45,0,21%,5.3
2022,NL,6,Carlos Rodón,SFG,30,0,14%,5.2
2022,NL,7,Corbin Burnes,MIL,20,0,10%,4.3
2022,NL,8,Yu Darvish,SDP,7,0,3%,4.5
2022,NL,9,Edwin Díaz,NYM,6,0,3%,3.2
2022,NL,10,Kyle Wright,ATL,3,0,1%,3.7
2022,NL,11,Logan Webb,SFG,2,0,1%,4.6
2022,NL,12,Ryan Helsley,STL,1,0,0%,2.8
2021,AL,1,Robbie Ray,TOR,207,29,99%,6.9
2021,AL,2,Gerrit Cole,NYY,123,1,59%,5.7
2021,AL,3,Lance Lynn,CHW,48,0,23%,5.4
2021,AL,4,Nathan Eovaldi,BOS,41,0,20%,4.3
2021,AL,5,Carlos Rodón,CHW,34,0,16%,5.1
2021,AL,6,Frankie Montas,OAK,21,0,10%,3.7
2021,AL,7,Lance McCullers Jr.,HOU,14,0,7%,3.3
2021,AL,8,Liam Hendriks,CHW,10,0,5%,2.6
2021,AL,9,José Berríos,TOT,8,0,4%,3.4
2021,AL,10,Chris Bassitt,OAK,2,0,1%,4
2021,AL,11,Lucas Giolito,CHW,1,0,0%,4.3
2021,AL,11,Raisel Iglesias,LAA,1,0,0%,2.8
2021,NL,1,Corbin Burnes,MIL,151,12,72%,5.3
2021,NL,2,Zack Wheeler,PHI,141,12,67%,7.5
2021,NL,3,Max Scherzer,TOT,113,6,54%,6.1
2021,NL,4,Walker Buehler,LAD,70,0,33%,7.1
2021,NL,5,Brandon Woodruff,MIL,21,0,10%,5.3
2021,NL,6,Kevin Gausman,SFG,7,0,3%,5.2
2021,NL,7,Julio Urías,LAD,3,0,1%,4.8
2021,NL,7,Adam Wainwright,STL,3,0,1%,3.7
2021,NL,9,Jacob deGrom,NYM,1,0,0%,4.5
2020,AL,1,Shane Bieber,CLE,210,30,100%,3.2
2020,AL,2,Kenta Maeda,MIN,92,0,44%,1.6
2020,AL,3,Hyun Jin Ryu,TOR,51,0,24%,2.9
2020,AL,4,Gerrit Cole,NYY,50,0,24%,2.2
2020,AL,5,Dallas Keuchel,CHW,46,0,22%,2.1
2020,AL,6,Lance Lynn,TEX,22,0,10%,2.2
2020,AL,7,Lucas Giolito,CHW,18,0,9%,0.8
2020,AL,8,Chris Bassitt,OAK,10,0,5%,2.2
2020,AL,9,Dylan Bundy,LAA,5,0,2%,1.7
2020,AL,9,Liam Hendriks,OAK,5,0,2%,1.4
2020,AL,11,Framber Valdez,HOU,1,0,0%,1.2
2020,NL,1,Trevor Bauer,CIN,201,27,96%,3
2020,NL,2,Yu Darvish,CHC,123,3,59%,2.8
