Season,Name,Team,IP,FA-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,NameASCII,PlayerId,MLBAMID
2025,"Clayton Kershaw","LAD",111.2,54.01529036243822,,54.95575769168814,,42.95154363458807,54.503765776279394,62.58118179563492,68.01778411865234,46.46025848388672,,,,"Clayton Kershaw",2036,477132
2025,"Max Scherzer","TOR",85,34.067550885571215,30.67092556423611,,,,31.86300816869301,37.07761600378788,,,29.156415264423078,,,"Max Scherzer",3137,453286
2025,"Charlie Morton","- - -",125.2,21.88720066715735,20.086330506859756,,,20.87131951956168,,20.287336378020715,,,19.21923881900468,,,"Charlie Morton",4676,450203
2025,"Martín Pérez","CHW",52.2,50.128477035030244,46.07385468064693,,,47.15321673768939,,49.998842985733695,,,44.96255696614583,,,"Martin Perez",6902,527048
2025,"Justin Verlander","SFG",152,57.541061813766895,,,,56.53166580200195,53.688968478598014,53.27308009826031,,,50.933246234515764,,,"Justin Verlander",8700,434378
2025,"Nathan Eovaldi","TEX",130,30.014094599971063,31.77034547483766,32.506676962209305,,30.786213353737114,33.23693316915761,35.971030363621374,,,,,,"Nathan Eovaldi",9132,543135
2025,"Patrick Corbin","TEX",154.1,39.41719611672794,33.40745777355919,,,37.200711686643835,36.985099473110466,44.73229166666667,,,40.36780098157051,,,"Patrick Corbin",9323,571578
2025,"Miles Mikolas","STL",156.1,41.84743645388177,,,,38.646888882506126,43.857922907066055,48.58852652616279,48.38494364420573,,39.74547913024475,,,"Miles Mikolas",9803,571945
2025,"Zack Wheeler","PHI",149.2,23.188069412589194,22.91870591246966,24.339977336379718,,22.512853673986488,21.92698815986935,25.27895674746261,,,,,,"Zack Wheeler",10310,554430
2025,"Chris Sale","ATL",120,9.141756074242892,,,,6.356253803640172,8.50539236962146,,,,4.184338027624775,,,"Chris Sale",10603,519242
2025,"Jacob deGrom","TEX",172.2,29.029451111803823,,,,,32.703452838886065,37.136806860902254,,,32.38729806673729,,,"Jacob deGrom",10954,594798
2025,"Merrill Kelly","- - -",184,21.837743311752508,22.32715305978378,,,22.576998098273027,25.813888627260468,29.61713582059763,,,24.59105536278258,,,"Merrill Kelly",11156,518876
2025,"Jose Quintana","MIL",131.2,42.666942205954726,,,,41.62915958420502,,41.970662771177686,,,40.456486002604166,,,"Jose Quintana",11423,500779
2025,"Robbie Ray","SFG",182.1,46.999426920062696,,,,,44.744232177734375,,44.15792147489892,,43.519159226190474,,,"Robbie Ray",11486,592662
2025,"Jameson Taillon","CHC",129.2,45.178272637795274,46.398859888624564,,,45.82030890969669,46.83468658549331,49.20748721852022,,,47.36838942307692,,,"Jameson Taillon",11674,592791
2025,"Taijuan Walker","PHI",103.2,41.20274221161265,39.998819666584644,39.61094104193653,,41.4171875,41.885924344235754,42.30518405720339,,,,,,"Taijuan Walker",11836,592836
2025,"Kyle Hendricks","LAA",164.2,39.625313895089285,,,,42.467166815173115,,44.07527362175708,,,43.67827064336373,,,"Kyle Hendricks",12049,543294
2025,"Chris Bassitt","TOR",169.1,30.780505510337452,31.376187877494747,27.52456168241279,,31.337747551107327,29.111979166666668,38.49454574918122,,,29.572824578536185,,,"Chris Bassitt",12304,605135
2025,"Colin Rea","CHC",143.1,29.192157299084435,30.478537819602273,31.22424958881579,,30.057696821351932,30.381119507368997,34.713612731073944,,,,,,"Colin Rea",12317,607067
2025,"Seth Lugo","KCR",145.1,32.77472408234127,35.24304454291045,31.951298304966517,,28.786242887463874,29.699693392108937,31.89685724431818,26.727361310992325,,31.361728601288377,,,"Seth Lugo",12447,607625
2025,"Adrian Houser","- - -",125,39.55732775381787,,,,34.54732451093211,36.15387966208262,40.35427124575792,,,34.05118505352509,,,"Adrian Houser",12718,605288
2025,"Nick Martinez","CIN",145,56.95673605719462,55.679189967105266,,,56.91520353618421,56.56106457078313,62.21273561507937,,,60.49227488814318,,,"Nick Martinez",12730,607259
2025,"Sonny Gray","STL",180.2,46.77122331373762,47.56125374727471,,,47.00016516913319,47.99180581536091,50.99916687625755,49.894779205322266,,42.76356952783843,,,"Sonny Gray",12768,543243
2025,"Tyler Anderson","LAA",136.1,55.48270839165733,51.83290791362213,,,32.41185948988971,37.1088271722561,64.77578125,,,59.034714033018865,,,"Tyler Anderson",12880,542881
2025,"Yu Darvish","SDP",72,27.18395144440407,26.03704530972961,26.901383066565042,,25.294860343622968,31.815193479241877,45.45408792335894,41.251290457589285,,34.98274230957031,,,"Yu Darvish",13074,506433
2025,"Eduardo Rodriguez","ARI",154.1,39.72736634814049,38.56918717367936,,,42.371089311079544,42.582050175629846,45.73056744514628,,,40.39531766895085,,,"Eduardo Rodriguez",13164,593958
2025,"Blake Snell","LAD",61.1,55.47877720424107,,,,,58.00283545778509,59.35066914237668,,,52.789122781635804,,,"Blake Snell",13543,605483
2025,"Clay Holmes","NYM",161,43.72443000637755,45.832373903508774,,,41.97684946051423,41.979376160272274,,,,40.188706205463184,,,"Clay Holmes",13649,605280
2025,"Max Fried","NYY",195.1,50.77753552971576,46.763676354644495,,,44.70361416742287,40.80748496882423,50.97788276885475,,,39.91915150751466,,,"Max Fried",13743,608331
2025,"Zach Eflin","BAL",71.1,22.79102240668403,23.28791254783163,,,22.566830041273583,24.03596391018082,26.01768812242445,,,24.197046558277027,,,"Zach Eflin",13774,621107
2025,"Michael Wacha","KCR",172.2,51.41444705310881,47.83088319359756,,,48.42877261513158,50.297646949404765,51.58944079945388,,,53.02134301144756,,,"Michael Wacha",14078,608379
2025,"Kevin Gausman","TOR",193,38.37544389204545,,33.897894678979775,,37.15959930419922,37.738515179420155,,,,,,,"Kevin Gausman",14107,592332
2025,"Lance McCullers Jr.","HOU",51.1,29.03961463341346,26.9407884247449,,,24.93728047859769,21.99731585623204,,27.936153615014792,,25.219089446858288,,,"Lance McCullers Jr.",14120,621121
2025,"José Berríos","TOR",164,40.293791118421055,38.6989103618421,,,39.93267352764423,,36.79802547089041,,,37.29053986378205,,,"Jose Berrios",14168,621244
2025,"Tyler Glasnow","LAD",90.1,55.984879152724666,,,,54.99397412909836,53.509508792048926,59.855305989583336,,,,,,"Tyler Glasnow",14374,607192
2025,"Michael Lorenzen","KCR",140.2,41.346850198412696,41.4784296875,,,38.3893737071513,41.36747068230277,43.25641687619732,,,41.807790961779446,,,"Michael Lorenzen",14843,547179
2025,"Germán Márquez","COL",126.1,40.09552346068249,,,,39.6961242418249,35.57363409745066,,43.695083245998475,,38.595330004422166,,,"German Marquez",15038,608566
2025,"Andrew Heaney","PIT",117,26.054273270882703,,,,9.266387803819445,25.109577217487374,18.78291372234902,34.63621681053322,,27.291219429347827,,,"Andrew Heaney",15423,571760
2025,"Matthew Boyd","CHC",179.2,25.187873481583072,,,,21.308083713644802,13.711321662454043,32.922688278737944,,,29.20438701923077,,,"Matthew Boyd",15440,571510
2025,"Nick Pivetta","SDP",181.2,57.121230706935975,54.281628273221344,44.49388427734375,,50.88225940265487,53.84694870283019,58.03961966105015,,,,,,"Nick Pivetta",15454,601713
2025,"Lucas Giolito","BOS",145,53.11073502945026,,,,,50.2717873349835,53.558349609375,,,51.46715531367041,,,"Lucas Giolito",15474,608337
2025,"Antonio Senzatela","COL",108,43.064774816176474,,,,39.77343401227679,42.80429388552296,49.482799271663346,,,38.86729705028045,,,"Antonio Senzatela",15488,622608
2025,"Luis Castillo","SEA",180.2,16.425902439574315,,,,13.8902915031585,13.428141676929393,,,,9.683566463694852,,,"Luis Castillo",15689,622491
2025,"Zack Littell","- - -",186.2,40.60406945230015,,37.213564735072175,,37.1141052931882,41.19765603724129,,,,,,,"Zack Littell",15823,641793
2025,"Sean Manaea","NYM",51.1,14.922049827644665,,,,15.572044372558594,17.962708076082826,,,,15.936108180454799,,,"Sean Manaea",15873,640455
2025,"Luis Severino","ATH",162.2,41.902449813741725,40.5278105345912,,,40.771893568441904,36.36967984653308,,,,36.02374057112069,,,"Luis Severino",15890,622663
2025,"Carlos Rodón","NYY",195.1,47.094002859933035,44.12371826171875,,,43.013839376011326,40.4561028203724,50.91414254610656,,,43.41402486753372,,,"Carlos Rodon",16137,607074
