Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2025,"Clayton Kershaw","LAD",111.2,0.34586895,,,0.05527066,,0.00626781,0.41196581,0.17948718,0.0005698,0.0005698,,,,,"Clayton Kershaw",2036,477132
2025,"Max Scherzer","TOR",85,0.48489209,,0.01942446,,,,0.23669065,0.11870504,,,0.14028777,,,,"Max Scherzer",3137,453286
2025,"Charlie Morton","- - -",125.2,0.2691118,,0.09058772,,,0.15598763,,0.38400354,,,0.10030932,,,,"Charlie Morton",4676,450203
2025,"Martín Pérez","CHW",52.2,0.03725962,,0.27403846,,,0.31730769,,0.08293269,,,0.28846154,,,,"Martin Perez",6902,527048
2025,"Justin Verlander","SFG",152,0.45398773,,,,,0.00306748,0.30904908,0.14877301,,,0.0851227,,,,"Justin Verlander",8700,434378
2025,"Nathan Eovaldi","TEX",130,0.22523462,,0.20072993,0.31386861,,0.05057351,0.01199166,0.19760167,,,,,,,"Nathan Eovaldi",9132,543135
2025,"Patrick Corbin","TEX",154.1,0.03312549,,0.25019486,,,0.28448948,0.33515199,0.00584567,,,0.09119252,,,,"Patrick Corbin",9323,571578
2025,"Miles Mikolas","STL",156.1,0.28272251,,,,,0.16431736,0.26218284,0.17317761,0.00241643,,0.11518325,,,,"Miles Mikolas",9803,571945
2025,"Zack Wheeler","PHI",149.2,0.40977444,,0.08604845,0.08855472,,0.17000835,0.14786967,0.09774436,,,,,,,"Zack Wheeler",10310,554430
2025,"Chris Sale","ATL",120,0.41808786,,,,,0.03565891,0.4744186,,,,0.07183463,,,,"Chris Sale",10603,519242
2025,"Jacob deGrom","TEX",172.2,0.46021423,,,,,,0.37605203,0.05087988,,,0.11285386,,,,"Jacob deGrom",10954,594798
2025,"Merrill Kelly","- - -",184,0.22881356,,0.20515537,,,0.13418079,0.06956215,0.09675141,,,0.26553672,,,,"Merrill Kelly",11156,518876
2025,"Jose Quintana","MIL",131.2,0.11683533,,,,,0.43974241,,0.22263109,,,0.22079117,,,,"Jose Quintana",11423,500779
2025,"Robbie Ray","SFG",182.1,0.51971326,,,,,,0.22939068,,0.12088628,,0.13000978,,,,"Robbie Ray",11486,592662
2025,"Jameson Taillon","CHC",129.2,0.38504295,,0.14603335,,,0.06872158,0.15108641,0.13744315,,,0.11167256,,,,"Jameson Taillon",11674,592791
2025,"Taijuan Walker","PHI",103.2,0.09462617,,0.29672897,0.22546729,,0.20151869,0.11273364,0.06892523,,,,,,,"Taijuan Walker",11836,592836
2025,"Kyle Hendricks","LAA",164.2,0.15235134,,,,,0.38165565,,0.08239409,,,0.38359891,,,,"Kyle Hendricks",12049,543294
2025,"Chris Bassitt","TOR",169.1,0.09329549,,0.1688542,0.04576091,,0.41645974,0.08620078,0.16246896,,,0.02695991,,,,"Chris Bassitt",12304,605135
2025,"Colin Rea","CHC",143.1,0.42261393,,0.06620808,0.12252794,,0.10017197,0.19690456,0.09157352,,,,,,,"Colin Rea",12317,607067
2025,"Seth Lugo","KCR",145.1,0.21176471,,0.1407563,0.00588235,,0.14537815,0.07521008,0.27731092,0.04789916,,0.09579832,,,,"Seth Lugo",12447,607625
2025,"Adrian Houser","- - -",125,0.11680761,,,,,0.45930233,0.15433404,0.11680761,,,0.15274841,,,,"Adrian Houser",12718,605288
2025,"Nick Martinez","CIN",145,0.21128609,,0.20778653,,,0.16622922,0.10892388,0.11023622,,,0.19553806,,,,"Nick Martinez",12730,607259
2025,"Sonny Gray","STL",180.2,0.22287606,,0.1265171,,,0.17396102,0.20890033,0.18278779,0.00073556,,0.08422214,,,,"Sonny Gray",12768,543243
2025,"Tyler Anderson","LAA",136.1,0.38178709,,0.20478837,,,0.03634032,0.03505772,0.00213767,,,0.33988884,,,,"Tyler Anderson",12880,542881
2025,"Yu Darvish","SDP",72,0.14853195,,0.12176166,0.10621762,,0.21243523,0.23920553,0.15457686,0.01208981,,0.00518135,,,,"Yu Darvish",13074,506433
2025,"Eduardo Rodriguez","ARI",154.1,0.46736192,,0.15720355,,,0.08497489,0.04982619,0.03630745,,,0.20432599,,,,"Eduardo Rodriguez",13164,593958
2025,"Blake Snell","LAD",61.1,0.43579767,,,,,,0.11089494,0.21692607,,,0.23638132,,,,"Blake Snell",13543,605483
2025,"Clay Holmes","NYM",161,0.05458596,,0.08466394,,,0.40438173,0.30003713,,,,0.15633123,,,,"Clay Holmes",13649,605280
2025,"Max Fried","NYY",195.1,0.12447732,,0.28047604,,,0.1772274,0.13541332,0.17272435,,,0.10968157,,,,"Max Fried",13743,608331
2025,"Zach Eflin","BAL",71.1,0.12777285,,0.2173913,,,0.18811003,0.14108252,0.16149068,,,0.16415262,,,,"Zach Eflin",13774,621107
2025,"Michael Wacha","KCR",172.2,0.28968105,,0.15384615,,,0.10694184,0.11819887,0.07729831,,,0.25403377,,,,"Michael Wacha",14078,608379
2025,"Kevin Gausman","TOR",193,0.53729373,,,0.37524752,,0.00066007,0.08679868,,,,,,,,"Kevin Gausman",14107,592332
2025,"Lance McCullers Jr.","HOU",51.1,0.06155303,,0.04640152,,,0.22537879,0.32954545,,0.16003788,,0.17708333,,,,"Lance McCullers Jr.",14120,621121
2025,"José Berríos","TOR",164,0.18664047,,0.05972495,,,0.32691552,,0.25815324,,,0.16856582,,,,"Jose Berrios",14168,621244
2025,"Tyler Glasnow","LAD",90.1,0.35361731,,,,,0.20622042,0.22109533,0.21906694,,,,,,,"Tyler Glasnow",14374,607192
2025,"Michael Lorenzen","KCR",140.2,0.21856028,,0.10841284,,,0.18343452,0.20338248,0.113183,,,0.17302689,,,,"Michael Lorenzen",14843,547179
