Season,Name,Team,IP,FA-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN,NameASCII,PlayerId,MLBAMID
2025,"Clayton Kershaw","LAD",111.2,2215.0642504118614,,1491.2886597938145,,2336.6363636363635,2351.4260027662517,2129.6349206349205,2221,1339,,,,"Clayton Kershaw",2036,477132
2025,"Max Scherzer","TOR",85,2391.46884272997,2486.259259259259,,,,2374.5258358662613,2689.3515151515153,,,1352.8564102564103,,,"Max Scherzer",3137,453286
2025,"Charlie Morton","- - -",125.2,2323.8193760262725,2520.458536585366,,,2217.201133144476,,3166.286536248562,,,1824.2334801762115,,,"Charlie Morton",4676,450203
2025,"Martín Pérez","CHW",52.2,2073.967741935484,2219.8333333333335,,,1986.2386363636363,,2444,,,1650.2458333333334,,,"Martin Perez",6902,527048
2025,"Justin Verlander","SFG",152,2433.1807432432433,,,,2450.625,2542.4441687344915,2747.4458762886597,,,1728.7342342342342,,,"Justin Verlander",8700,434378
2025,"Nathan Eovaldi","TEX",130,2207.627314814815,2288.6337662337664,1510.0016611295682,,2137.278350515464,2111.8260869565215,1903.2242744063324,,,,,,"Nathan Eovaldi",9132,543135
2025,"Patrick Corbin","TEX",154.1,2144.8470588235296,2324.5155763239877,,,2090.6917808219177,2228.772093023256,1912.9333333333334,,,1519.5384615384614,,,"Patrick Corbin",9323,571578
2025,"Miles Mikolas","STL",156.1,2217.0868945868947,,,,2130.7720588235293,2295.726574500768,2583.225581395349,2248.6666666666665,,1661.2202797202797,,,"Miles Mikolas",9803,571945
2025,"Zack Wheeler","PHI",149.2,2470.4036697247707,2563.5825242718447,1533.7075471698113,,2310.2899262899264,2669.223163841808,2810.269230769231,,,,,,"Zack Wheeler",10310,554430
2025,"Chris Sale","ATL",120,2260.981458590853,,,,2096.753623188406,2343.9978213507625,,,,1818.820143884892,,,"Chris Sale",10603,519242
2025,"Jacob deGrom","TEX",172.2,2518.609310058188,,,,,2697.9562563580876,2781.3984962406016,,,1665.9694915254238,,,"Jacob deGrom",10954,594798
2025,"Merrill Kelly","- - -",184,2367.608024691358,2362.526678141136,,,2226.628947368421,2366.8883248730963,2616.0182481751826,,,2156.621010638298,,,"Merrill Kelly",11156,518876
2025,"Jose Quintana","MIL",131.2,2094.9448818897636,,,,2093.7981171548117,,2186.5743801652893,,,1353.4979166666667,,,"Jose Quintana",11423,500779
2025,"Robbie Ray","SFG",182.1,2359.7905956112854,,,,,2268.018465909091,,2184.9056603773583,,1650.3959899749373,,,"Robbie Ray",11486,592662
