Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2025,"Clayton Kershaw","LAD",11,2,0,22,22,111.2,6.770149407916838,2.820895586632016,0.6447761340873179,0.283987915407855,0.72769953,0.473214285,0.071428571,88.82841670048701,3.385074703958419,3.7970226939418734,3.556031850180453,4.171030102308901,2.4836723804473877,"Clayton Kershaw",2036,477132
2025,"Max Scherzer","TOR",5,5,0,17,17,85,8.68235294117647,2.4352941176470586,2.011764705882353,0.29310344827586204,0.73770492,0.270916334,0.139705882,93.52647697855029,5.188235294117647,4.618074147134479,4.993959847618552,4.55486039834864,0.3993212580680847,"Max Scherzer",3137,453286
2025,"Charlie Morton","- - -",9,10,0,27,27,125.2,9.453581021427551,4.58355443463154,1.4323607608223563,0.3361581920903955,0.69312169,0.440217391,0.157480314,94.21020767962347,6.087533233495015,4.702012476602459,4.965375068146464,4.454506836052858,0.4097603037953377,"Charlie Morton",4676,450203
2025,"Martín Pérez","CHW",1,5,0,10,10,52.2,6.835443368039837,3.4177216840199187,1.0253165052059756,0.21379310344827587,0.7312253,0.386666666,0.08219178,89.80964906754032,3.5886077682209145,5.377334842266697,4.350326250302758,5.006281408179626,0.7220786809921265,"Martin Perez",6902,527048
2025,"Justin Verlander","SFG",4,11,0,29,29,152,8.111842105263158,3.0789473684210527,0.9473684210526315,0.3082039911308204,0.72927597,0.344902386,0.077669902,93.9484506302521,3.848684210526316,4.2365869115068895,3.8456626339962607,4.566704073783598,2.249141216278076,"Justin Verlander",8700,434378
2025,"Nathan Eovaldi","TEX",11,3,0,22,22,130,8.930769230769231,1.4538461538461538,0.6923076923076923,0.24316109422492402,0.86538462,0.503012048,0.096153846,94.3563387784091,1.7307692307692308,3.019513802275403,2.7966747797452487,3.0300662315808813,3.7312192916870117,"Nathan Eovaldi",9132,543135
2025,"Patrick Corbin","TEX",7,10,0,30,30,154.1,7.639309107055305,2.974082171449012,1.224622070596652,0.30376940133037694,0.74479737,0.392624728,0.122093023,91.48894904641544,4.315334915435821,4.75240270757773,4.2560866791233,4.205411702148664,1.8033745288848877,"Patrick Corbin",9323,571578
2025,"Miles Mikolas","STL",8,11,0,31,31,156.1,5.756929824826819,2.130064035185923,1.6695096491997774,0.28,0.72446556,0.401904761,0.129464285,92.92760263929618,4.835821052854527,5.26684197638802,5.034923160399638,4.8324686112583155,0.2942189872264862,"Miles Mikolas",9803,571945
2025,"Zack Wheeler","PHI",10,5,0,24,24,149.2,11.726058703454148,1.984409934430702,1.142539053157071,0.26666666666666666,0.82372323,0.399425287,0.141791044,95.9765063526694,2.7060135469509574,2.4815738362582778,3.0015060195919254,2.7315265013475694,4.039516925811768,"Zack Wheeler",10310,554430
2025,"Chris Sale","ATL",6,5,0,20,20,120,11.7,2.25,0.825,0.3107142857142857,0.82524272,0.394463667,0.096491228,94.87118098635236,2.625,2.8481073333283677,2.751802984873454,3.0247886672616007,3.409522533416748,"Chris Sale",10603,519242
2025,"Jacob deGrom","TEX",12,8,0,30,30,172.2,9.64285771095881,1.928571542191762,1.3552124350536705,0.22966507177033493,0.83598726,0.377828054,0.138297872,97.56576657315046,2.971042646079201,3.3567820548562897,3.64478885788509,3.3659104120036734,3.3914434909820557,"Jacob deGrom",10954,594798
2025,"Merrill Kelly","- - -",12,9,0,32,32,184,8.168478768917504,2.347826232982277,1.1250000699706744,0.2637795275590551,0.73226545,0.430740037,0.115,91.91596089140856,3.5217393494734153,4.1474833417734835,3.7601363570793844,3.8109399632767174,3.1212130188941956,"Merrill Kelly",11156,518876
2025,"Jose Quintana","MIL",11,7,0,24,24,131.2,6.08354477381026,3.417721783039472,1.23037984189421,0.25888324873096447,0.73431242,0.432762836,0.111801242,90.29453890931373,3.964557268325788,5.187186751170606,4.81361746054395,4.921617694320327,0.8461607098579407,"Jose Quintana",11423,500779
2025,"Robbie Ray","SFG",11,8,0,32,32,182.1,9.180987459032451,3.6032907769320914,1.085923247842548,0.2680851063829787,0.7415036,0.360655737,0.096491228,93.62859071696931,3.652650924561298,3.704886731491026,3.930383141121784,4.289706170010815,2.184039831161499,"Robbie Ray",11486,592662
2025,"Jameson Taillon","CHC",11,7,0,23,23,129.2,6.802057088900536,1.8740361367379028,1.6658098993225803,0.23243243243243245,0.80270793,0.337595907,0.136363636,92.31563534768212,3.678663527670698,3.8403339630765174,4.654416643051919,4.340890547019683,1.1004010438919067,"Jameson Taillon",11674,592791
2025,"Taijuan Walker","PHI",4,7,0,21,21,103.2,5.6430869551554235,2.7781351163842087,1.4758842805791108,0.30149253731343284,0.76804916,0.459770114,0.133858267,92.00120818309294,4.2540193969633195,4.624104818741453,5.0547505132083765,4.811672304469406,0.6067914366722107,"Taijuan Walker",11836,592836
2025,"Kyle Hendricks","LAA",8,10,0,31,31,164.2,6.230769615684207,2.350202574337026,1.3663968455447824,0.2795275590551181,0.68333333,0.38490566,0.111111111,86.60104370117188,4.755061022495843,3.9157386627954116,4.598699161656977,4.731642565591036,1.8168165683746338,"Kyle Hendricks",12049,543294
2025,"Chris Bassitt","TOR",11,9,0,31,31,169.1,8.769685302784996,2.7637796105746655,1.1692913737046662,0.316008316008316,0.76368876,0.463073852,0.131736526,91.41218345905172,3.9862205921749982,4.181050922048024,4.026868628456306,3.8583871208603235,2.4112253189086914,"Chris Bassitt",12304,605135
2025,"Colin Rea","CHC",10,7,0,27,27,143.1,7.472093288407199,2.7000000958110046,1.25581399805163,0.29397590361445786,0.72839506,0.398601398,0.117647058,93.84267547828335,4.332558293278123,4.429949672128562,4.293275894187735,4.307896942486142,1.6109422445297241,"Colin Rea",12317,607067
2025,"Seth Lugo","KCR",8,7,0,26,26,145.1,7.740825958980804,3.4059634219515535,1.6720184071398536,0.2663316582914573,0.79385403,0.389548693,0.154285714,91.99464641434263,4.149082714013711,5.173013341310418,5.089264826962831,4.5305793493074855,0.4965122640132904,"Seth Lugo",12447,607625
2025,"Adrian Houser","- - -",8,5,0,21,21,125,6.624000202148443,2.7360000834960965,0.7200000219726569,0.3027027027027027,0.77272727,0.489417989,0.080645161,95.29931200731981,3.3120001010742217,4.041611519341091,3.8071363387146,4.2965417539262525,2.2835106253623962,"Adrian Houser",12718,605288
2025,"Nick Martinez","CIN",10,10,0,26,26,145,6.641379310344828,2.2344827586206897,1.2413793103448276,0.28868360277136257,0.68553459,0.383073496,0.109890109,92.5999190167683,4.7172413793103445,4.187373893252072,4.321343214758511,4.463388423673038,1.994583249092102,"Nick Martinez",12730,607259
2025,"Sonny Gray","STL",14,8,0,32,32,180.2,10.012915692933463,1.892989036474983,1.2453875239966994,0.3292181069958848,0.69633508,0.438735177,0.14450867,91.69117647058823,4.284133082548646,3.8669103491079917,3.3897488786683345,3.0671708243031417,3.5670740604400635,"Sonny Gray",12768,543243
2025,"Tyler Anderson","LAA",2,8,0,26,26,136.1,6.8655259285076085,3.7628363262012856,1.8484108269058945,0.2628992628992629,0.7830552,0.292626728,0.127853881,89.36154368729098,4.555012394875241,5.059725395852353,5.599684087414647,5.40634112132622,0.11074844747781754,"Tyler Anderson",12880,542881
2025,"Yu Darvish","SDP",5,5,0,15,15,72,8.5,2.375,1.75,0.2751322751322751,0.65826331,0.39800995,0.16091954,93.80017546791444,5.375,3.6248638108638183,4.815691873762343,4.150849101361302,0.3708169758319855,"Yu Darvish",13074,506433
2025,"Eduardo Rodriguez","ARI",9,9,0,29,29,154.1,8.339093147396248,3.49892020170472,1.4578834173769666,0.32903225806451614,0.71078431,0.371607515,0.126903553,91.95791144120066,5.0151189557767655,4.511896947880492,4.573581290018728,4.435715054467759,1.2650376558303833,"Eduardo Rodriguez",13164,593958
