Season,Name,Team,IP,FA-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN
2025,Clayton Kershaw,LAD,111.2,2215.0642504118600,,1491.2886597938100,,2336.6363636363600,2351.4260027662500,2129.6349206349200,2221,1339,,,
2025,Max Scherzer,TOR,85,2391.46884272997,2486.259259259260,,,,2374.5258358662600,2689.3515151515200,,,1352.8564102564100,,
2025,Charlie Morton,- - -,125.2,2323.8193760262700,2520.458536585370,,,2217.201133144480,,3166.286536248560,,,1824.2334801762100,,
2025,Martín Pérez,CHW,52.2,2073.967741935480,2219.8333333333300,,,1986.2386363636400,,2444,,,1650.2458333333300,,
2025,Justin Verlander,SFG,152,2433.1807432432400,,,,2450.625,2542.4441687344900,2747.4458762886600,,,1728.7342342342300,,
2025,Nathan Eovaldi,TEX,130,2207.627314814820,2288.6337662337700,1510.0016611295700,,2137.278350515460,2111.8260869565200,1903.2242744063300,,,,,
2025,Patrick Corbin,TEX,154.1,2144.8470588235300,2324.5155763239900,,,2090.6917808219200,2228.772093023260,1912.9333333333300,,,1519.5384615384600,,
2025,Miles Mikolas,STL,156.1,2217.0868945868900,,,,2130.7720588235300,2295.726574500770,2583.225581395350,2248.6666666666700,,1661.2202797202800,,
2025,Zack Wheeler,PHI,149.2,2470.4036697247700,2563.5825242718400,1533.7075471698100,,2310.2899262899300,2669.223163841810,2810.269230769230,,,,,
2025,Chris Sale,ATL,120,2260.981458590850,,,,2096.753623188410,2343.9978213507600,,,,1818.820143884890,,
2025,Jacob deGrom,TEX,172.2,2518.609310058190,,,,,2697.9562563580900,2781.3984962406000,,,1665.9694915254200,,
2025,Merrill Kelly,- - -,184,2367.608024691360,2362.526678141140,,,2226.628947368420,2366.8883248731000,2616.0182481751800,,,2156.621010638300,,
2025,Jose Quintana,MIL,131.2,2094.9448818897600,,,,2093.7981171548100,,2186.5743801652900,,,1353.4979166666700,,
2025,Robbie Ray,SFG,182.1,2359.7905956112900,,,,,2268.018465909090,,2184.9056603773600,,1650.3959899749400,,
2025,Jameson Taillon,CHC,129.2,2321.246719160110,2533.453287197230,,,2211.6470588235300,2718.8595317725800,2580.2463235294100,,,1752.7737556561100,,
2025,Taijuan Walker,PHI,103.2,2128.3395061728400,2429.5570866141700,1451.9974093264200,,1962.672463768120,2462.1761658031100,2422.415254237290,,,,,
2025,Kyle Hendricks,LAA,164.2,2048.5102040816300,,,,1981.9409368635400,,2822.646226415090,,,2077.3961499493400,,
2025,Chris Bassitt,TOR,169.1,2149.889733840300,2222.922268907560,1365.8837209302300,,2096.3202725724000,2347.4074074074100,2271.7816593886500,,,1916.9342105263200,,
2025,Colin Rea,CHC,143.1,2197.206510681590,2215.5324675324700,1412.2105263157900,,2153.248927038630,2328.9323144104800,2213.1784037558700,,,,,
2025,Seth Lugo,KCR,145.1,2350.0257936507900,2453.1492537313400,1416.4285714285700,,2402.3612716763000,2651.9944134078200,3142.640909090910,2629.3245614035100,,1670.7543859649100,,
2025,Adrian Houser,- - -,125,2301.285067873300,,,,2201.6179516685800,2431.9828767123300,1964.6877828054300,,,1612.6262975778500,,
2025,Nick Martinez,CIN,145,2316.057971014490,2363.456842105260,,,2294.1026315789500,2431.3092369477900,2590.503968253970,,,1995.874720357940,,
2025,Sonny Gray,STL,180.2,2500.513201320130,2678.7558139534900,,,2389.0528541226200,2657.68838028169,2583.41046277666,2358.5,,1859.8122270742400,,
