Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
2025,Clayton Kershaw,LAD,11,2,0,22,22,111.2,6.770149407916840,2.820895586632020,0.6447761340873180,0.283987915407855,0.72769953,0.473214285,0.071428571,88.82841670048700,3.385074703958420,3.7970226939418700,3.556031850180450,4.171030102308900,2.4836723804473900
2025,Max Scherzer,TOR,5,5,0,17,17,85,8.68235294117647,2.4352941176470600,2.011764705882350,0.29310344827586200,0.73770492,0.270916334,0.139705882,93.52647697855030,5.188235294117650,4.618074147134480,4.993959847618550,4.55486039834864,0.3993212580680850
2025,Charlie Morton,- - -,9,10,0,27,27,125.2,9.453581021427550,4.58355443463154,1.4323607608223600,0.3361581920903960,0.69312169,0.440217391,0.157480314,94.21020767962350,6.087533233495020,4.702012476602460,4.965375068146460,4.454506836052860,0.4097603037953380
2025,Martín Pérez,CHW,1,5,0,10,10,52.2,6.835443368039840,3.4177216840199200,1.0253165052059800,0.21379310344827600,0.7312253,0.386666666,0.08219178,89.80964906754030,3.5886077682209100,5.377334842266700,4.350326250302760,5.006281408179630,0.7220786809921270
2025,Justin Verlander,SFG,4,11,0,29,29,152,8.111842105263160,3.0789473684210500,0.9473684210526320,0.3082039911308200,0.72927597,0.344902386,0.077669902,93.9484506302521,3.848684210526320,4.2365869115068900,3.8456626339962600,4.566704073783600,2.249141216278080
2025,Nathan Eovaldi,TEX,11,3,0,22,22,130,8.930769230769230,1.4538461538461500,0.6923076923076920,0.24316109422492400,0.86538462,0.503012048,0.096153846,94.3563387784091,1.7307692307692300,3.019513802275400,2.7966747797452500,3.0300662315808800,3.7312192916870100
2025,Patrick Corbin,TEX,7,10,0,30,30,154.1,7.639309107055310,2.974082171449010,1.224622070596650,0.30376940133037700,0.74479737,0.392624728,0.122093023,91.48894904641540,4.315334915435820,4.75240270757773,4.2560866791233,4.205411702148660,1.8033745288848900
2025,Miles Mikolas,STL,8,11,0,31,31,156.1,5.756929824826820,2.130064035185920,1.6695096491997800,0.28,0.72446556,0.401904761,0.129464285,92.92760263929620,4.835821052854530,5.26684197638802,5.034923160399640,4.8324686112583200,0.2942189872264860
2025,Zack Wheeler,PHI,10,5,0,24,24,149.2,11.726058703454100,1.984409934430700,1.142539053157070,0.26666666666666700,0.82372323,0.399425287,0.141791044,95.9765063526694,2.7060135469509600,2.4815738362582800,3.0015060195919300,2.7315265013475700,4.039516925811770
2025,Chris Sale,ATL,6,5,0,20,20,120,11.7,2.25,0.825,0.3107142857142860,0.82524272,0.394463667,0.096491228,94.87118098635240,2.625,2.8481073333283700,2.751802984873450,3.0247886672616000,3.409522533416750
2025,Jacob deGrom,TEX,12,8,0,30,30,172.2,9.64285771095881,1.928571542191760,1.3552124350536700,0.22966507177033500,0.83598726,0.377828054,0.138297872,97.56576657315050,2.971042646079200,3.3567820548562900,3.64478885788509,3.3659104120036700,3.3914434909820600
2025,Merrill Kelly,- - -,12,9,0,32,32,184,8.168478768917500,2.347826232982280,1.1250000699706700,0.2637795275590550,0.73226545,0.430740037,0.115,91.91596089140860,3.5217393494734200,4.1474833417734800,3.7601363570793800,3.8109399632767200,3.1212130188942000
2025,Jose Quintana,MIL,11,7,0,24,24,131.2,6.08354477381026,3.417721783039470,1.23037984189421,0.25888324873096400,0.73431242,0.432762836,0.111801242,90.29453890931370,3.964557268325790,5.187186751170610,4.81361746054395,4.921617694320330,0.8461607098579410
2025,Robbie Ray,SFG,11,8,0,32,32,182.1,9.180987459032450,3.6032907769320900,1.085923247842550,0.2680851063829790,0.7415036,0.360655737,0.096491228,93.62859071696930,3.652650924561300,3.704886731491030,3.930383141121780,4.289706170010820,2.184039831161500
2025,Jameson Taillon,CHC,11,7,0,23,23,129.2,6.802057088900540,1.8740361367379000,1.6658098993225800,0.23243243243243200,0.80270793,0.337595907,0.136363636,92.31563534768210,3.678663527670700,3.8403339630765200,4.654416643051920,4.340890547019680,1.1004010438919100
2025,Taijuan Walker,PHI,4,7,0,21,21,103.2,5.6430869551554200,2.7781351163842100,1.4758842805791100,0.30149253731343300,0.76804916,0.459770114,0.133858267,92.00120818309290,4.2540193969633200,4.624104818741450,5.0547505132083800,4.811672304469410,0.6067914366722110
2025,Kyle Hendricks,LAA,8,10,0,31,31,164.2,6.230769615684210,2.350202574337030,1.3663968455447800,0.2795275590551180,0.68333333,0.38490566,0.111111111,86.60104370117190,4.755061022495840,3.9157386627954100,4.598699161656980,4.731642565591040,1.8168165683746300
2025,Chris Bassitt,TOR,11,9,0,31,31,169.1,8.769685302785000,2.7637796105746700,1.1692913737046700,0.316008316008316,0.76368876,0.463073852,0.131736526,91.41218345905170,3.9862205921750000,4.181050922048020,4.026868628456310,3.8583871208603200,2.4112253189086900
2025,Colin Rea,CHC,10,7,0,27,27,143.1,7.472093288407200,2.7000000958110000,1.25581399805163,0.29397590361445800,0.72839506,0.398601398,0.117647058,93.84267547828340,4.332558293278120,4.429949672128560,4.293275894187740,4.307896942486140,1.6109422445297200
2025,Seth Lugo,KCR,8,7,0,26,26,145.1,7.740825958980800,3.4059634219515500,1.6720184071398500,0.2663316582914570,0.79385403,0.389548693,0.154285714,91.99464641434260,4.149082714013710,5.173013341310420,5.089264826962830,4.5305793493074900,0.4965122640132900
2025,Adrian Houser,- - -,8,5,0,21,21,125,6.624000202148440,2.7360000834961000,0.7200000219726570,0.3027027027027030,0.77272727,0.489417989,0.080645161,95.29931200731980,3.3120001010742200,4.041611519341090,3.8071363387146,4.2965417539262500,2.2835106253624000
2025,Nick Martinez,CIN,10,10,0,26,26,145,6.641379310344830,2.2344827586206900,1.2413793103448300,0.28868360277136300,0.68553459,0.383073496,0.109890109,92.5999190167683,4.7172413793103400,4.187373893252070,4.321343214758510,4.463388423673040,1.994583249092100
2025,Sonny Gray,STL,14,8,0,32,32,180.2,10.012915692933500,1.892989036474980,1.2453875239967000,0.3292181069958850,0.69633508,0.438735177,0.14450867,91.69117647058820,4.284133082548650,3.8669103491079900,3.3897488786683300,3.0671708243031400,3.5670740604400600
2025,Tyler Anderson,LAA,2,8,0,26,26,136.1,6.8655259285076100,3.7628363262012900,1.8484108269058900,0.2628992628992630,0.7830552,0.292626728,0.127853881,89.36154368729100,4.555012394875240,5.059725395852350,5.599684087414650,5.40634112132622,0.11074844747781800
2025,Yu Darvish,SDP,5,5,0,15,15,72,8.5,2.375,1.75,0.2751322751322750,0.65826331,0.39800995,0.16091954,93.80017546791440,5.375,3.6248638108638200,4.815691873762340,4.150849101361300,0.3708169758319860
2025,Eduardo Rodriguez,ARI,9,9,0,29,29,154.1,8.339093147396250,3.49892020170472,1.4578834173769700,0.32903225806451600,0.71078431,0.371607515,0.126903553,91.95791144120070,5.0151189557767700,4.511896947880490,4.573581290018730,4.435715054467760,1.2650376558303800
