Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA_x,ERA,xERA,FIP,xFIP,WAR,FA%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,vFA_y,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,FA-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,FA-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,FA-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN,K/BB,K%,BB%,K-BB%,WHIP,ERA-,FIP-,xFIP-,SIERA,League,Rank,Vote_Pts,1st_Place,Share,CY_winner
2025,Clayton Kershaw,LAD,11,2,0,22,22,111.2,6.77014940791684,2.82089558663202,0.644776134087318,0.283987915407855,0.72769953,0.473214285,0.071428571,88.828416700487,3.38507470395842,3.7970226939418703,3.55603185018045,4.1710301023089,2.48367238044739,0.34586895,0,0.05527066,0.0,0.00626781,0.41196581,0.17948718,0.0005698,0.0005698,0,0.0,0.0,88.9349258649094,,83.1247432748067,,89.2727272727273,85.6857548841632,72.3298425099206,58.5999984741211,46.2999992370606,,,,0.438191999909905,,5.41969346508537,,5.49957518144087,-2.0328524472143,-1.88760308159722,-4.59156322479248,-1.56044709682465,,,,10.2434592836182,,7.53940794639981,,9.40694219415838,4.91217049457555,-8.2854499937996,-12.7164421081543,1.09327566623688,,,,2215.06425041186,,1491.28865979381,,2336.63636363636,2351.42600276625,2129.63492063492,2221.0,1339.0,,,,2.4,18.3%,7.6%,10.7%,1.23,81,84,101,4.46,,0,0,0,0.0,0
2025,Max Scherzer,TOR,5,5,0,17,17,85.0,8.68235294117647,2.43529411764706,2.01176470588235,0.293103448275862,0.73770492,0.270916334,0.139705882,93.5264769785503,5.18823529411765,4.61807414713448,4.99395984761855,4.55486039834864,0.399321258068085,0.48489209,0.01942446,0.0,0.0,0,0.23669065,0.11870504,0,0.0,0.14028777,0.0,0.0,93.5980677392433,88.0925925925926,,,,86.3425567534195,76.7296993371212,,,84.8851262019231,,,-5.94843271861091,-0.991897794935438,,,,1.15702815186289,5.78481778231534,,,-9.0057867588141,,,9.41273095558234,4.60892571343316,,,,2.37527400889295,-3.74265728574811,,,2.83420660556891,,,2391.46884272997,2486.25925925926,,,,2374.52583586626,2689.35151515152,,,1352.85641025641,,,3.57,22.9%,6.4%,16.5%,1.29,127,118,109,4.26,,0,0,0,0.0,0
2025,Charlie Morton,TOT,9,10,0,27,27,125.2,9.45358102142755,4.58355443463154,1.43236076082236,0.336158192090396,0.69312169,0.440217391,0.157480314,94.2102076796235,6.08753323349502,4.70201247660246,4.96537506814646,4.45450683605286,0.409760303795338,0.2691118,0.09058772,0.0,0.0,0.15598763,0,0.38400354,0,0.0,0.10030932,0.0,0.0,94.1870259502643,87.8970726943598,,,94.002551805534,,81.4098937075212,,,87.4916282351322,,,-7.60960998284601,-0.254060419594369,,,-10.8495306387839,,7.90610601602956,,,-8.55896883388973,,,7.09016057658078,2.95799344690835,,,2.70098601117013,,-5.08727008920544,,,-2.02606779258157,,,2323.81937602627,2520.45853658537,,,2217.20113314448,,3166.28653624856,,,1824.23348017621,,,2.06,22.6%,11.0%,11.6%,1.62,150,120,107,4.45,,0,0,0,0.0,0
2025,Martin Perez,CHW,1,5,0,10,10,52.2,6.83544336803984,3.41772168401992,1.02531650520598,0.213793103448276,0.7312253,0.386666666,0.08219178,89.8096490675403,3.58860776822091,5.3773348422667,4.35032625030276,5.00628140817963,0.722078680992127,0.03725962,0.27403846,0.0,0.0,0.31730769,0,0.08293269,0,0.0,0.28846154,0.0,0.0,89.6483902469758,85.9486790707237,,,89.4958348129735,,76.2478275022645,,,82.1816650390625,,,6.3475351641255,0.0744555456596508,,,9.37581102775805,,-2.89672962133435,,,8.59762980143229,,,8.48775851341986,6.43977382726837,,,5.66481804125237,,-1.89529817000679,,,5.51114654541016,,,2073.96774193548,2219.83333333333,,,1986.23863636364,,2444.0,,,1650.24583333333,,,2.0,18.8%,9.4%,9.4%,1.08,87,101,120,4.86,,0,0,0,0.0,0
2025,Justin Verlander,SFG,4,11,0,29,29,152.0,8.11184210526316,3.07894736842105,0.947368421052632,0.30820399113082,0.72927597,0.344902386,0.077669902,93.9484506302521,3.84868421052632,4.2365869115068895,3.84566263399626,4.5667040737836,2.24914121627808,0.45398773,0,0.0,0.0,0.00306748,0.30904908,0.14877301,0,0.0,0.0851227,0.0,0.0,93.9200142525338,,,,93.3000030517578,85.5366004962779,78.5036092541882,,,84.6788253096847,,,-5.6332158269109,,,,-7.24219608306885,2.70957322037841,3.71690447305896,,,-7.86921375721425,,,11.2247825828758,,,,9.49453735351563,2.75345340851815,-6.62109563768525,,,5.88517142630912,,,2433.18074324324,,,,2450.625,2542.44416873449,2747.44587628866,,,1728.73423423423,,,2.63,20.7%,7.9%,12.8%,1.36,94,97,110,4.44,,0,0,0,0.0,0
2025,Nathan Eovaldi,TEX,11,3,0,22,22,130.0,8.93076923076923,1.45384615384615,0.692307692307692,0.243161094224924,0.86538462,0.503012048,0.096153846,94.3563387784091,1.73076923076923,3.0195138022754,2.79667477974525,3.03006623158088,3.7312192916870095,0.22523462,0.20072993,0.31386861,0.0,0.05057351,0.01199166,0.19760167,0,0.0,0,0.0,0.0,94.1141221788194,90.4945413961039,87.6071428571429,,93.3494885631443,85.7434771993886,75.834829526715,,,,,,-8.52339794017651,-0.65441438749239,-7.84069621444145,,-10.7729467018363,2.30609711356785,4.21122866507256,,,,,,7.51260319462529,6.67075512378247,0.358192646622262,,5.62289648940883,2.18380820232889,-4.8985173771438,,,,,,2207.62731481482,2288.63376623377,1510.00166112957,,2137.27835051546,2111.82608695652,1903.22427440633,,,,,,6.14,26.0%,4.2%,21.8%,0.85,43,66,72,3.17,,0,0,0,0.0,0
2025,Patrick Corbin,TEX,7,10,0,30,30,154.1,7.63930910705531,2.97408217144901,1.22462207059665,0.303769401330377,0.74479737,0.392624728,0.122093023,91.4889490464154,4.31533491543582,4.75240270757773,4.2560866791233,4.20541170214866,1.80337452888489,0.03312549,0.25019486,0.0,0.0,0.28448948,0.33515199,0.00584567,0,0.0,0.09119252,0.0,0.0,91.4541187959559,87.4978217484424,,,91.5498608732877,80.3568586482558,68.713330078125,,,81.4683743990385,,,5.82729169060202,0.451051135672216,,,9.63079181827911,-0.49014559013899,-0.826223055521647,,,7.81770989833734,,,8.83523308249081,3.98411146502629,,,6.67071650256849,0.663670526548874,-1.59050420125326,,,5.494826096754809,,,2144.84705882353,2324.51557632399,,,2090.69178082192,2228.77209302326,1912.93333333333,,,1519.53846153846,,,2.57,19.9%,7.8%,12.2%,1.35,107,101,101,4.42,,0,0,0,0.0,0
2025,Miles Mikolas,STL,8,11,0,31,31,156.1,5.75692982482682,2.13006403518592,1.66950964919978,0.28,0.72446556,0.401904761,0.129464285,92.9276026392962,4.83582105285453,5.26684197638802,5.03492316039964,4.83246861125832,0.294218987226486,0.28272251,0,0.0,0.0,0.16431736,0.26218284,0.17317761,0.00241643,0.0,0.11518325,0.0,0.0,92.9169504540598,,,,92.4149528952206,87.0047643049155,76.1411609738372,69.2333323160807,,85.9276251092657,,,-5.47797587250712,,,,-9.55778234145221,1.22909475581437,4.27230111055596,2.79060014088949,,-8.98504681353803,,,8.8777759693287,,,,5.5708600212546,3.83011262720814,-8.44482705759448,-7.49229113260905,,4.28812307077688,,,2217.08689458689,,,,2130.77205882353,2295.72657450077,2583.22558139535,2248.66666666667,,1661.22027972028,,,2.7,14.9%,5.5%,9.4%,1.32,117,124,116,4.83,,0,0,0,0.0,0
2025,Zack Wheeler,PHI,10,5,0,24,24,149.2,11.7260587034541,1.9844099344307,1.14253905315707,0.266666666666667,0.82372323,0.399425287,0.141791044,95.9765063526694,2.70601354695096,2.48157383625828,3.00150601959193,2.73152650134757,4.03951692581177,0.40977444,0.08604845,0.08855472,0.0,0.17000835,0.14786967,0.09774436,0,0.0,0,0.0,0.0,96.0725821865443,91.8480544599515,87.1023548054245,,95.4373464373464,83.7290949417373,81.1410256410256,,,,,,-6.52613773015418,-0.229380190951153,-8.10191316424676,,-10.6109454180743,6.92596401063736,6.51295510316506,,,,,,8.37327882103721,5.28607711051274,2.67495094155366,,4.45104110680283,1.49663444562147,-5.86427711421608,,,,,,2470.40366972477,2563.58252427184,1533.70754716981,,2310.28992628993,2669.22316384181,2810.26923076923,,,,,,5.91,33.3%,5.6%,27.7%,0.94,63,72,67,2.73,NL,9,1,0,0.0,0
2025,Chris Sale,ATL,6,5,0,20,20,120.0,11.7,2.25,0.825,0.310714285714286,0.82524272,0.394463667,0.096491228,94.8711809863524,2.625,2.84810733332837,2.75180298487345,3.0247886672616,3.40952253341675,0.41808786,0,0.0,0.0,0.03565891,0.4744186,0,0,0.0,0.07183463,0.0,0.0,94.8304040482077,,,,93.8333333333333,79.1143790849673,,,,86.6309366569245,,,9.52945621523486,,,,11.1429248754529,-5.00442006229575,,,,10.3867538781475,,,5.20074817483004,,,,0.80835911847543,-1.85255275884225,,,,-0.431756959544669,,,2260.98145859085,,,,2096.75362318841,2343.99782135076,,,,1818.82014388489,,,5.2,32.0%,6.1%,25.8%,1.07,62,68,74,2.92,,0,0,0,0.0,0
2025,Jacob deGrom,TEX,12,8,0,30,30,172.2,9.64285771095881,1.92857154219176,1.35521243505367,0.229665071770335,0.83598726,0.377828054,0.138297872,97.5657665731505,2.9710426460792,3.35678205485629,3.64478885788509,3.36591041200367,3.39144349098206,0.46021423,0,0.0,0.0,0,0.37605203,0.05087988,0,0.0,0.11285386,0.0,0.0,97.4999155756442,,,,,90.3720275940997,80.8917263862782,,,89.8345736228814,,,-5.65720829761534,,,,,2.1566558248029,5.61853165017035,,,-8.27642180879237,,,9.64291419887781,,,,,1.71654714621217,-2.97422411925811,,,1.49666985980535,,,2518.60931005819,,,,,2697.95625635809,2781.3984962406,,,1665.96949152542,,,5.0,27.7%,5.5%,22.1%,0.92,74,86,80,3.32,AL,8,2,0,0.01,0
2025,Merrill Kelly,TOT,12,9,0,32,32,184.0,8.1684787689175,2.34782623298228,1.12500006997067,0.263779527559055,0.73226545,0.430740037,0.115,91.9159608914086,3.52173934947342,4.14748334177348,3.76013635707938,3.81093996327672,3.1212130188942,0.22881356,0.20515537,0.0,0.0,0.13418079,0.06956215,0.09675141,0,0.0,0.26553672,0.0,0.0,91.8479923201196,90.6416553490749,,,92.1957905016447,85.7903563213832,81.6729923443203,,,88.3208761012301,,,-6.05786189326534,-2.3573947190828,,,-10.146929610403,0.413846717873201,4.32474746147211,,,-9.13289820894282,,,8.52805036379967,6.90836196347892,,,3.6146114148591697,2.21121897431194,-5.64773024955805,,,0.359129789027762,,,2367.60802469136,2362.52667814114,,,2226.62894736842,2366.8883248731,2616.01824817518,,,2156.6210106383,,,3.48,22.3%,6.4%,15.9%,1.11,84,93,92,3.95,,0,0,0,0.0,0
2025,Jose Quintana,MIL,11,7,0,24,24,131.2,6.08354477381026,3.41772178303947,1.23037984189421,0.258883248730964,0.73431242,0.432762836,0.111801242,90.2945389093137,3.96455726832579,5.18718675117061,4.81361746054395,4.92161769432033,0.846160709857941,0.11683533,0,0.0,0.0,0.43974241,0,0.22263109,0,0.0,0.22079117,0.0,0.0,90.4098409817913,,,,90.5131815507322,,78.2921455320248,,,85.5877115885417,,,3.36160494586614,,,,8.55584078353818,,-3.59810442963908,,,8.9774159749349,,,9.15037716843012,,,,7.13606191978295,,-2.25805966716167,,,2.49203160603841,,,2094.94488188976,,,,2093.79811715481,,2186.57438016529,,,1353.49791666667,,,1.78,16.0%,9.0%,7.0%,1.29,95,116,119,5.04,,0,0,0,0.0,0
2025,Robbie Ray,SFG,11,8,0,32,32,182.1,9.18098745903245,3.6032907769320897,1.08592324784255,0.268085106382979,0.7415036,0.360655737,0.096491228,93.6285907169693,3.6526509245613,3.70488673149103,3.93038314112178,4.28970617001082,2.1840398311615,0.51971326,0,0.0,0.0,0,0.22939068,0,0.12088628,0.0,0.13000978,0.0,0.0,93.5819455329154,,,,,87.780967018821,,81.2040410208895,,84.8478716322055,,,5.49131685932602,,,,,1.02674276178533,,-0.138098714165289,,7.26679308133615,,,10.6149502840909,,,,,5.48315637761896,,-2.74973447239303,,7.06671402627663,,,2359.79059561129,,,,,2268.01846590909,,2184.90566037736,,1650.39598997494,,,2.55,24.6%,9.7%,15.0%,1.21,89,99,104,4.17,,0,0,0,0.0,0
2025,Jameson Taillon,CHC,11,7,0,23,23,129.2,6.80205708890054,1.8740361367379,1.66580989932258,0.232432432432432,0.80270793,0.337595907,0.136363636,92.3156353476821,3.6786635276707,3.84033396307652,4.65441664305192,4.34089054701968,1.10040104389191,0.38504295,0.14603335,0.0,0.0,0.06872158,0.15108641,0.13744315,0,0.0,0.11167256,0.0,0.0,92.2589197834646,85.7660913170415,,,92.3029426125919,80.2107023411371,79.6444881663603,,,84.0321249292987,,,-4.59689114788386,3.25424204895653,,,-7.84647055233226,8.57345040107651,5.07029768999885,,,-9.17053443597992,,,10.6404596764272,4.91747582247513,,,8.4987398035386,-0.0992598326309868,-5.19607723460478,,,4.79975221383626,,,2321.24671916011,2533.45328719723,,,2211.64705882353,2718.85953177258,2580.24632352941,,,1752.77375565611,,,3.63,18.9%,5.2%,13.7%,1.06,89,114,105,4.4,,0,0,0,0.0,0
2025,Taijuan Walker,PHI,4,7,0,21,21,103.2,5.64308695515542,2.77813511638421,1.47588428057911,0.301492537313433,0.76804916,0.459770114,0.133858267,92.0012081830929,4.25401939696332,4.62410481874145,5.05475051320838,4.81167230446941,0.606791436672211,0.09462617,0.29672897,0.22546729,0.0,0.20151869,0.11273364,0.06892523,0,0.0,0,0.0,0.0,92.037037037037,86.9643670029528,87.140159488342,,91.8411571557971,83.4844559585492,74.9322033898305,,,,,,-5.80162594642168,1.13575432244248,-7.5444595257853,,-8.97217929121377,3.16466368047685,3.32472979012182,,,,,,10.2180371696566,7.52998652420645,2.72366601815495,,7.59209196671196,3.7457778219114304,-5.84738417803231,,,,,,2128.33950617284,2429.55708661417,1451.99740932642,,1962.67246376812,2462.17616580311,2422.41525423729,,,,,,2.03,14.3%,7.1%,7.3%,1.45,99,120,116,4.94,,0,0,0,0.0,0
2025,Kyle Hendricks,LAA,8,10,0,31,31,164.2,6.23076961568421,2.35020257433703,1.36639684554478,0.279527559055118,0.68333333,0.38490566,0.111111111,86.6010437011719,4.75506102249584,3.9157386627954094,4.59869916165698,4.73164256559104,1.81681656837463,0.15235134,0,0.0,0.0,0.38165565,0,0.08239409,0,0.0,0.38359891,0.0,0.0,86.4734733737245,,,,86.2011201629328,,72.2466971919222,,,79.4593702507599,,,-4.0315053511639,,,,-8.65881571410387,,8.13154861162294,,,-6.94994053555598,,,8.18617528798629,,,,4.26776707293788,,-6.04876939305719,,,5.06684654413627,,,2048.51020408163,,,,1981.94093686354,,2822.64622641509,,,2077.39614994934,,,2.65,16.4%,6.2%,10.2%,1.28,115,109,114,4.73,,0,0,0,0.0,0
