Season,League,Actual Winner,Actual Share,Model Pick,Model Pred Share,Snub
2015,AL,Dallas Keuchel,0.89,Dallas Keuchel,0.764,✅ NO
2015,NL,Jake Arrieta,0.8,Jake Arrieta,0.788,✅ NO
2016,AL,Rick Porcello,0.65,Justin Verlander,0.569,❌ YES
2016,NL,Max Scherzer,0.91,Max Scherzer,0.746,✅ NO
2017,AL,Corey Kluber,0.97,Corey Kluber,0.83,✅ NO
2017,NL,Max Scherzer,0.96,Max Scherzer,0.789,✅ NO
2018,AL,Blake Snell,0.8,Blake Snell,0.717,✅ NO
2018,NL,Jacob deGrom,0.99,Jacob deGrom,0.869,✅ NO
2019,AL,Justin Verlander,0.81,Justin Verlander,0.757,✅ NO
2019,NL,Jacob deGrom,0.99,Jacob deGrom,0.856,✅ NO
2020,AL,Shane Bieber,1.0,Shane Bieber,0.765,✅ NO
2020,NL,Trevor Bauer,0.96,Trevor Bauer,0.734,✅ NO
2021,AL,Robbie Ray,0.99,Robbie Ray,0.74,✅ NO
2021,NL,Corbin Burnes,0.72,Corbin Burnes,0.585,✅ NO
2022,AL,Justin Verlander,1.0,Justin Verlander,0.784,✅ NO
2022,NL,Sandy Alcantara,1.0,Sandy Alcantara,0.826,✅ NO
2023,AL,Gerrit Cole,1.0,Gerrit Cole,0.782,✅ NO
2023,NL,Blake Snell,0.97,Blake Snell,0.733,✅ NO
2024,AL,Tarik Skubal,1.0,Tarik Skubal,0.736,✅ NO
2024,NL,Chris Sale,0.94,Chris Sale,0.647,✅ NO
2025,AL,Tarik Skubal,0.94,Tarik Skubal,0.756,✅ NO
2025,NL,Paul Skenes,1.0,Paul Skenes,0.722,✅ NO
